Country Name,corruption_perception_estimate,access_to_electricity_percent,co2_emissions_per_capita,mobile_cellular_subscriptions_per_100_people,agriculture_value_added_percent_gdp,industry_value_added_percent_gdp,gdp_growth_annual_percent,gdp_per_capita_usd,stability_of_government_estimate,health_expenditure_pct_gdp,child_mortality_rate,life_expectancy_at_birth,fertility_rate_total,population_65_plus_percent,population_total,urban_population_percent
Cambodia,-1.24161159992218,92.3,1.008881435372408,113.392,16.5440859884826,40.864962622232895,5.129901107672666,2325.030500408411,-0.0980230420827866,4.71089554,21.1,70.528,2.616,5.7669541078253,17201724.0,25.114000000000004
Cameroon,-1.12971425056458,71.0,0.3917992878817689,89.8274,16.54616441327453,27.130359337719614,3.736784005641198,1604.877269548946,-1.37962925434113,4.47835922,42.5,62.443,4.397,2.763171982224079,27632771.0,58.733
Canada,1.65857303142548,100.0,14.776101171735082,91.2387,1.3352958430584358,21.71628473258841,4.189036281008512,56256.80072640146,0.780681550502777,11.23432541,4.5,81.24536585365854,1.33,18.9407471303288,38935934.0,81.752
Cayman Islands,0.457700431346893,100.0,4.742216200360381,139.315,0.4653714440791177,8.19059449963044,5.156329542483334,92202.14780315755,1.66074180603027,7.359013558,2.6799999999999997,79.984,1.541,8.13783759245162,71591.0,100.0
Central African Republic,-1.24614667892456,15.700000000000003,0.06920307985089913,38.821799999999996,36.21711000241186,21.15730000073896,0.45390188150700794,467.35982502623665,-2.20505237579346,9.95509052,189.09999999999997,18.817999999999998,6.023,2.143696611216921,5098039.0,43.12
Chad,-1.48853802680969,11.700000000000003,0.13584161875093326,65.43780000000001,35.22798239859793,33.063605230064105,12.896616430008237,966.0364682785694,-1.47040486335754,4.52549791,60.3,54.528,6.215,2.0555107822459107,18455316.000000004,24.063000000000002
Channel Islands,0.6703189045190806,100.0,4.621820189630633,127.06360000000001,0.6503830578313909,8.383067881067326,5.341961403758688,67627.30844782345,0.7874998748302455,8.515684606,3.759999999999998,81.0,1.37,19.3435436800306,167215.0,31.077
Chile,0.968124032020569,100.0,4.543795654035517,135.114,3.234679258491621,31.033047400602147,2.15399356192458,15405.616577407298,0.13208432495594,10.06172848,5.9,79.176,1.255,13.300080015705,19553036.0,87.912
China,0.0160636715590954,100.0,8.87059061376954,124.195,7.147886928301708,37.8945266620066,3.134188871957704,12970.605641432652,-0.45127671957016,5.36948681,4.800000000000001,78.202,1.034,13.781930345649,1412175000.0,63.56
Colombia,-0.362088114023209,100.0,1.7735629386432517,156.195,8.831544736890406,26.123002231695235,7.328277294279786,6680.44506854481,-0.62995833158493,7.57361269,11.3,76.508,1.663,9.00655628107831,51737944.0,82.05
